character,traditional_character,alternate_characters,pinyin,definition,hsk_level,frequency
凫,鳧,鳧,fú,"wild duck, teal; swim",,5226
诔,誄,誄,lěi,"eulogize, praise the dead",,5227
郯,,,tán,name of a small ancient principality which was situated in what is now part of Shantung and Kiangsu,,5228
韪,韙,韙,wěi,right; proper; perpriety,,5229
挲,,,sā,to feel or fondle with the fingers,,5230
笪,,,dá,a coarse mat of rushes or bamboo,,5231
鼋,黿,黿,yuán,"large turtle, sea turtle",,5232
莜,,,yóu,Avena nuda; a bamboo basket,,5233
風,,,fēng,"wind; air; manners, atmosphere",,5234
菅,,,jiān,"coarse grass, themedia forskali",,5235
嵊,,,shèng,"district in Shaohsing, Chekiang",,5236
裢,褳,褳,lián,folding purse inserted in belt,,5237
趿,,,tā,to tread on; slipshod,,5238
箸,,,zhù,chopsticks,,5239
莴,萵,萵,wō,lettuce,,5240
莠,,,yǒu,"weeds, tares; undesirable, evil",,5241
阌,閿,閿,wén,"wen xiang, Henan province",,5242
旯,,,lá,"nook, corner",,5243
圜,,,huán,"circle, surround; encircle",,5244
涪,,,fú,river in Sichuan province,,5245
赍,齎,齎,jī,present,,5246
柞,,,zhà,oak; spinous evergreen tree; to clear away trees,,5247
嗍,,,suō,,,5248
囵,圇,圇,lún,"all, complete, entire",,5249
榧,,,fěi,type of yew,,5250
裰,,,duō,to mend clothes,,5251
笾,籩,籩,biān,bamboo container for food,,5252
簟,,,diàn,bamboo mat,,5253
跎,,,tuó,"slip, stumble, falter; vacillate",,5254
巽,,,xùn,"5th of the 8 trigrams; south-east; mild, modest, obedient",,5255
曷,,,hé,why? what? where?,,5256
逖,,,tì,"far, distant; keep at distance",,5257
骓,騅,騅,zhuī,piebald horse,,5258
绔,絝,絝,kù,trousers,,5259
枋,,,fāng,sandalwood; tree used as timber,,5260
镒,鎰,鎰,yì,measure of weight for gold,,5261
魃,,,bá,drought demon,,5262
餮,,,tiè,a legendary animal; a greedy person,,5263
讵,詎,詎,jù,an interjection used express surprise,,5264
乜,,,miē,to squint; (Cant.) what? huh?,,5265
鄢,,,yān,name of a district in Honan,,5266
瑭,,,táng,a kind of jade,,5267
踅,,,xué,to walk around; turn back midway,,5268
馓,饊,饊,sǎn,fried round cakes of wheat flour,,5269
蟛,,,péng,a land-crab,,5270
鳟,鱒,鱒,zūn,barbel,,5271
荛,蕘,蕘,ráo,"fuel, firewood; stubble; Wikstroemia japonica",,5272
菬,,,qiáo,,,5273
忪,,,sōng,"quiet, calm, tranquil, peaceful",,5274
阍,閽,閽,hūn,"gatekeeper; gate, door",,5275
姹,奼,奼,chà,"beautiful, colorful; girl",,5276
纰,紕,紕,pī,spoiled silk; hem of dress; mista,,5277
桉,,,ān,eucalyptus,,5278
氪,,,kè,krypton,,5279
氘,,,dāo,deuterium,,5280
垅,壠,壠,lǒng,"mound, grave; ridge in field",,5281
郃,,,hé,county in Shanxi province,,5282
汊,,,chà,a branching stream,,5283
娉,,,pīng,"beautiful, attractive, charming, graceful",,5284
纡,紆,紆,yū,"bend, turn, twist; distort",,5285
缟,縞,縞,gǎo,white raw silk,,5286
旮,,,gā,"nook, corner",,5287
镢,钁,钁,jué,hoe,,5288
傈,,,lì,tribe,,5289
堋,,,péng,bury,,5290
蔺,藺,藺,lìn,rush used for making mats; surnam,,5291
庥,,,xiū,"shade; shelter, protection",,5292
枥,櫪,櫪,lì,type of oak; stable,,5293
腭,齶,齶,è,"palate, roof of mouth",,5294
鹕,鶘,鶘,hú,pelican,,5295
笮,,,zé,boards which support tiles on roof,,5296
髂,,,qià,the pelvis,,5297
魍,,,wǎng,"demons, mountain spirits",,5298
缁,緇,緇,zī,black silk,,5299
槊,,,shuò,"spear, lance",,5300
跞,躒,躒,lì,"walk, move",,5301
醚,,,mí,ether,,5302
吒,,,zhā,"shout, roar, bellow; scold",,5303
枳,,,zhǐ,trifoliate orange; hedge thorn; (Cant.) a plug,,5304
搿,,,gé,,,5305
鹧,鷓,鷓,zhè,partridge,,5306
蜍,,,chú,toad,,5307
舻,艫,艫,lú,bow or prow of boat,,5308
鏊,,,ào,"a flat, iron cooking-plate for cakes",,5309
禳,,,ráng,"pray or sacrifice, exorcise",,5310
蒺,,,jí,furze; gorse,,5311
钹,鈸,鈸,bó,cymbals,,5312
蜢,,,měng,grasshopper,,5313
鬻,,,yù,"sell; child, childish; nourish",,5314
珩,,,háng,the top gem of the pendants,,5315
卮,,,zhī,measuring cup; wine container,,5316
垭,埡,埡,yā,character used in place names,,5317
苄,,,biàn,benzyl,,5318
苕,,,sháo,rush plant,,5319
菀,,,wǎn,luxuriance of growth,,5320
骠,驃,驃,biāo,"charger, steed; swift, valiant",,5321
袷,,,jiá,lined garment,,5322
跹,躚,躚,xiān,"wander about, walk around; revolve",,5323
瘘,瘻,瘻,lòu,"fistula, sore, ulcer, goiter",,5324
騔,,,gé,,,5325
論,,,lùn,debate; discuss; discourse,,5326
磬,,,qìng,musical instrument; musical stone,,5327
缶,,,fǒu,earthen crock or jar; rad. 121,,5328
笸,,,pǒ,flat basket for grain,,5329
鸷,鷙,鷙,zhì,"hawk, vulture",,5330
頭,,,tóu,"head; top; chief, first; boss",,5331
芰,,,jì,water caltrop,,5332
蕲,蘄,蘄,qí,variety of artemisia seek,,5333
阆,閬,閬,láng,"high door; high gate; high, lofty",,5334
纨,紈,紈,wán,"white silk, fine silk; gauze",,5335
琮,,,cóng,octagonal piece of jade with hole in middle,,5336
牦,犛,犛,máo,tail; hair; yak,,5337
砩,,,fú,,,5338
蠲,,,juān,"the millipede sometimes confounded with the grow-worm; bright, clear",,5339
锒,鋃,鋃,láng,lock,,5340
锕,錒,錒,ā,actinium (Ac),,5341
郓,鄆,鄆,yùn,,,5342
妯,,,zhóu,,,5343
驷,駟,駟,sì,team of four horses; horses,,5344
鹩,鷯,鷯,liáo,wren,,5345
舢,,,shān,sampan,,5346
趸,躉,躉,dǔn,sell or buy wholesale; store,,5347
